"","X1","X2","X1_noise","X2_noise","muhat","Vhat"
"1",0,0,-0.0308824212220516,-0.000144658693066387,20.315555719299,97.6761652047938
"2",0,0.01,0.00710979700463972,0.000381129786391057,21.11545602907,112.681665357468
"3",0,0.02,0.0270209436918584,0.0259135239920537,20.5587191691145,94.5425374745466
"4",0,0.03,-0.0287087258926038,0.0467107808473896,19.164956986117,81.5502685019253
"5",0,0.04,-0.0308824212220516,0.0398553413069336,20.0519262978095,99.8691653608668
"6",0,0.05,0.00710979700463972,0.0403811297863911,19.804066985635,99.1621809441399
"7",0,0.06,0.0270209436918584,0.0659135239920537,21.1696972673515,136.4327908033
"8",0,0.07,-0.0287087258926038,0.0867107808473896,20.2849342090925,81.0185921666742
"9",0,0.08,-0.0308824212220516,0.0798553413069336,20.573030261626,94.9055098935008
"10",0,0.09,0.00710979700463972,0.0803811297863911,21.1371531307125,109.06698373504
"11",0,0.1,0.0270209436918584,0.105913523992054,19.977569958719,104.211182153617
"12",0,0.11,-0.0287087258926038,0.12671078084739,20.9232376147635,95.7677871397808
"13",0,0.12,-0.0308824212220516,0.119855341306934,20.767162628988,119.781342657538
"14",0,0.13,0.00710979700463972,0.120381129786391,20.532857878867,108.111457152176
"15",0,0.14,0.0270209436918584,0.145913523992054,20.615399888462,100.843712506172
"16",0,0.15,-0.0287087258926038,0.16671078084739,21.262307613736,101.190922580248
"17",0,0.16,-0.0308824212220516,0.159855341306934,21.154926612867,89.0382545897705
"18",0,0.17,0.00710979700463972,0.160381129786391,19.424026045224,75.2108165472699
"19",0,0.18,0.0270209436918584,0.185913523992054,20.374251677674,71.2987543750834
"20",0,0.19,-0.0287087258926038,0.20671078084739,21.0196539392055,118.302642519328
"21",0,0.2,-0.0308824212220516,0.199855341306934,20.5087212195615,85.7038789602769
"22",0,0.21,0.00710979700463972,0.200381129786391,21.065771585815,90.0245974002777
"23",0,0.22,0.0270209436918584,0.225913523992054,19.780442627027,85.1085660560537
